product_id,commercial_name,raw_product_name,product_category,fabric_structure,material_family,source_type,yarn_count,width_inches,gsm,color,unit,confidence_score,notes
P00298,"20TD104 Single Jersey 20""",20TD104SJ/20,knitted_fabric,single_jersey,mixed_blend,unknown,20.0,20.0,,,kg,0.7,
P00299,"34TK Rib 40""",34TKRB/40,knitted_fabric,rib,polyester,unknown,34.0,40.0,,,kg,0.7,
P00300,"20CM Single Jersey 16""",20CMSJ/16,knitted_fabric,single_jersey,cotton,unknown,20.0,16.0,,,kg,0.7,
P00301,"34TK Juti 72""",34TK/POLY75/72,traded_textile,unknown,polyester,unknown,34.0,72.0,,,kg,0.7,
P00302,"20SM Single Jersey 36.5""",20SMSJ/365,knitted_fabric,single_jersey,cotton,unknown,20.0,36.5,,,kg,0.7,
P00303,"30TD104 Rib 24""",30TD104RB2/24,knitted_fabric,rib,mixed_blend,unknown,30.0,24.0,,,kg,0.7,
P00304,"30SM Single Jersey 20""",30SMSJ/20,knitted_fabric,single_jersey,cotton,unknown,30.0,20.0,,,kg,0.7,
P00305,"เม็ดข้าวสารตัวหนา Single Jersey 72""",เม็ดข้าวสารตัวหนา,knitted_fabric,single_jersey,unknown,unknown,,72.0,,,kg,0.7,
P00306,"308CM Single Jersey 34.5""",308CMSJ/345,knitted_fabric,single_jersey,cotton,unknown,308.0,34.5,,,kg,0.7,
P00307,"45TC80 Interlock 43""",45TC80/20IT/43,knitted_fabric,interlock,tc,unknown,45.0,43.0,,,kg,0.7,
P00308,"32CM Single Jersey 38""",32CMSJ/38,knitted_fabric,single_jersey,cotton,unknown,32.0,38.0,,,kg,0.7,
P00309,"28CM Single Jersey 21""",28CMSJ/21,knitted_fabric,single_jersey,cotton,unknown,28.0,21.0,,,kg,0.7,
P00310,"30TD106 Rib 30""",30TD106RB/30,knitted_fabric,rib,mixed_blend,unknown,30.0,30.0,,,kg,0.7,
P00311,"24CM Single Jersey 33""",24CMSJ/33,knitted_fabric,single_jersey,cotton,unknown,24.0,33.0,,,kg,0.7,
P00312,"308CM Armbands 15027""",308CMแขน,traded_textile,unknown,cotton,unknown,308.0,15027.0,,,kg,0.7,
P00313,"308CM Single Jersey 15027""",308CMแขน2,knitted_fabric,single_jersey,cotton,unknown,308.0,15027.0,,,kg,0.7,
P00314,"308CM Single Jersey 15027""",308CMแขน1,knitted_fabric,single_jersey,cotton,unknown,308.0,15027.0,,,kg,0.7,
P00315,"ไมโครRIB Single Jersey 72""",ไมโครRIB,knitted_fabric,single_jersey,unknown,unknown,,72.0,,,kg,0.7,
P00316,"30SM Single Jersey 17""",30SMSJ/17,knitted_fabric,single_jersey,cotton,unknown,30.0,17.0,,,kg,0.7,
P00317,"308CM Single Jersey 22""",308CMSJ/22,knitted_fabric,single_jersey,cotton,unknown,308.0,22.0,,,kg,0.7,
P00318,"เม็ดข้าวโพดเงา* Single Jersey 72""",เม็ดข้าวโพดเงา*,knitted_fabric,single_jersey,unknown,unknown,,72.0,,,kg,0.7,
P00319,20TC65 Single Jersey Unknown width,20TC65/35/SJ,knitted_fabric,single_jersey,tc,unknown,20.0,,,,kg,0.7,
P00320,"28CM Rib 34""",28CMRB2/34,knitted_fabric,rib,cotton,unknown,28.0,34.0,,,kg,0.7,
P00321,"45TC80 Interlock 37.5""",45TC80/20IT/37.5,knitted_fabric,interlock,tc,unknown,45.0,37.5,,,kg,0.7,
P00322,"ผ้าวอร์ม ผ้าวอร์ม 60""",ผ้าวอร์ม/60,traded_textile,unknown,unknown,unknown,,60.0,,,kg,0.7,
P00323,"30CM Single Jersey 19""",30CMSJ/19,knitted_fabric,single_jersey,cotton,unknown,30.0,19.0,,,kg,0.7,
P00324,"30TD104 Single Jersey 41""",30TD104/2SJ/41,knitted_fabric,single_jersey,mixed_blend,unknown,30.0,41.0,,,kg,0.7,
P00325,"20CM Single Jersey 35""",20CMSJ/35,knitted_fabric,single_jersey,cotton,unknown,20.0,35.0,,,kg,0.7,
P00326,"30TD104 Rib 21""",30TD104RB2X2/21,knitted_fabric,rib,mixed_blend,unknown,30.0,21.0,,,kg,0.7,
P00327,"20TK Juti 49""",20TK+ไมโครจูติ/49,traded_textile,unknown,polyester,unknown,20.0,49.0,,,kg,0.7,
P00328,"30CM Single Jersey 25.5""",30CMSJ/255,knitted_fabric,single_jersey,cotton,unknown,30.0,25.5,,,kg,0.7,
P00329,"28CM Rib 22""",28CMRBเส้นคู่,knitted_fabric,rib,cotton,unknown,28.0,22.0,,,kg,0.7,
P00330,"30CM Single Jersey 20""",30CMSJ/20,knitted_fabric,single_jersey,cotton,unknown,30.0,20.0,,,kg,0.7,
P00331,"32CM Single Jersey 24.5""",32CMSJ/245,knitted_fabric,single_jersey,cotton,unknown,32.0,24.5,,,kg,0.7,
P00332,"POLY Interlock 42""",POLYIT/42,knitted_fabric,interlock,polyester,unknown,,42.0,,,kg,0.7,
P00333,"28CM Rib 24""",28CMRB2X1ลงคู่,knitted_fabric,rib,cotton,unknown,28.0,24.0,,,kg,0.7,
P00334,"308CM Single Jersey 18""",308CMSJ/18,knitted_fabric,single_jersey,cotton,unknown,308.0,18.0,,,kg,0.7,
P00335,"20CM Single Jersey 34""","20CMSJ/34""",knitted_fabric,single_jersey,cotton,unknown,20.0,34.0,,,kg,0.7,
P00336,C20 Single Jersey Unknown width,C20/SJ,knitted_fabric,single_jersey,unknown,unknown,,,,,kg,0.7,
P00337,"C20RIB RIB 36""","C20RIB/36""",knitted_fabric,rib,unknown,unknown,,36.0,,,kg,0.7,
P00338,"30TC80 Interlock 40""","30TC80/20INT/40""",knitted_fabric,interlock,tc,unknown,30.0,40.0,,,kg,0.7,
P00339,"30TC80 Interlock 76""","30TC80/20INT/76""",knitted_fabric,interlock,tc,unknown,30.0,76.0,,,kg,0.7,
P00340,"TC Single Jersey 36""",TC,knitted_fabric,single_jersey,tc,unknown,,36.0,,,kg,0.7,
P00341,"30CM Single Jersey 37""",30CMSJX2/37,knitted_fabric,single_jersey,cotton,unknown,30.0,37.0,,,kg,0.7,
P00342,"BABYFRENCHTERRY BABY FRENCH TERRY 72""",BABYFRENCHTERRY,traded_textile,unknown,unknown,unknown,,72.0,,,kg,0.7,
P00343,"20OE Rib 32""",20OERB/32,knitted_fabric,rib,cotton,unknown,20.0,32.0,,,kg,0.7,
P00344,"20CM ชักร่อง 8X4 28""",20CMRIB1X1+ยางยืดชักร่อง8X4,knitted_fabric,rib,cotton,unknown,20.0,28.0,,,kg,0.7,
P00345,"208CM Rib 28""",208CMRB/28,knitted_fabric,rib,cotton,unknown,208.0,28.0,,,kg,0.7,
P00346,"30CM Single Jersey 36.5""",30CMSJ/365*,knitted_fabric,single_jersey,cotton,unknown,30.0,36.5,,,kg,0.7,
