clothno_raw,clothno_clean,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"30TC80-20/IT /72","30TC80-20/IT /72","Interlock","72""","8","3731.36","180.25"
"30SMKVSJ/22","30SMKVSJ/22","Single Jersey","22""","8","1047.53","233.75"
"POLY RIB 1X1 /30","POLY RIB 1X1 /30","RIB","30""","7","760.09","123.00"
"30TD101SJ/365","30TD101SJ/365","Single Jersey","36.5-37","7","1960.50","141.91"
"20OESJ/24","20OESJ/24","Single Jersey","24""","7","3588.80","168.29"
"*34TC80/20SJ/355","*34TC80/20SJ/355","Single Jersey","35.5""","7","3397.37","145.00"
"*20TK+ไมโครจูติ /48","*20TK+ไมโครจูติ /48","Juti","48""","7","2311.80","133.57"
"30SMSJ/38","30SMSJ/38","Single Jersey","38""","7","2284.40","235.00"
"32SMSJ/39","32SMSJ/39","Single Jersey","39""-39.5""","7","2453.66","217.14"
"20TC 80-20 SJ /20","20TC 80-20 SJ /20","Single Jersey","20""","7","1755.00","151.00"
"20CMSJ/36","20CMSJ/36","Single Jersey","36""","7","1070.50","236.00"
"24CMSJ/19","24CMSJ/19","Single Jersey","19""","7","1626.44","243.57"
"RIB 45TK/2","RIB 45TK/2","RIB","32""","7","1685.96","146.43"
"30TD1603SJ/375","30TD1603SJ/375","Single Jersey","37.5","7","606.12","151.43"
"308CMSJ/38","308CMSJ/38","Single Jersey","38""","7","2258.61","228.57"
"28CM/2 SJ/41","28CM/2 SJ/41","Single Jersey","41""-42""","7","1991.30","203.00"
"30SMRB/2","30SMRB/2","Single Jersey","32""","7","1232.06","223.57"
"CM/72","CM/72","Single Jersey","72""","7","2665.30","65.00"
"30CM/2 SJ/41","30CM/2 SJ/41","Single Jersey","41""-42""","7","3382.70","185.71"
"45TK IT/39","45TK IT/39","Interlock","39""","6","2101.31","140.17"
"34TC80-20S/J/36","34TC80-20S/J/36","Single Jersey","36""-37""","6","2503.11","141.33"
"P0LY RB/32","P0LY RB/32","RIB","32""","6","725.03","134.80"
"34TKSJ/36","34TKSJ/36","Single Jersey","36""-37""","6","2149.88","135.50"
"C20 COMB/ 36""305E(BC)","C20 COMB/ 36""305E(BC)","Single Jersey","36""-37""","6","987.46","229.62"
"45TK/INT/86","45TK/INT/86","Interlock","86""(รวมริม)","6","1525.90","125.00"
"*30CMSJ/38","*30CMSJ/38","Single Jersey","38""","6","2250.19","234.17"
"POLY IT/36","POLY IT/36","Interlock","36""-37""","6","665.18","126.00"
"20CMSJ/26","20CMSJ/26","Single Jersey","26""","6","1009.60","234.17"
"30TC65-35RB/30","30TC65-35RB/30","RIB","30""","6","1490.48","163.33"
"40CMINT/37","40CMINT/37","Interlock","37""","6","3553.10","203.33"
"*20TK+ไมโคร จูติ/48","*20TK+ไมโคร จูติ/48","Juti","48""","5","1222.67","130.00"
"20TD104SJ/365","20TD104SJ/365","Single Jersey","36.5""","5","838.37","129.00"
"20OEWSJ/18","20OEWSJ/18","Single Jersey","18""","5","1827.64","168.40"
"34 TK IT/ 38","34 TK IT/ 38","Interlock","38""-39""","5","3259.78","133.60"
"*30SMRB/32*","*30SMRB/32*","RIB","32""","5","2108.90","241.00"
"*20TK+ไมโคร จูติ/475","*20TK+ไมโคร จูติ/475","Juti","47.5""","5","1839.73","124.22"
"30TC80/20SJ/365","30TC80/20SJ/365","Single Jersey","36""-37""","5","862.71","180.00"
"30TC80/20RB/30","30TC80/20RB/30","RIB","32""","5","1318.48","181.00"
"ลายเม็ดข้าวสารทางตรง","ลายเม็ดข้าวสารทางตรง","Single Jersey","74""(รวมริม)","5","2268.37","169.13"
"30TD1603/36","30TD1603/36","Single Jersey","36""-37""","5","651.99","151.00"
"20CMRB2","20CMRB2","RIB","20""","5","994.99","236.00"
"20TC65/35RB/32","20TC65/35RB/32","RIB","32""","5","1848.16","184.00"
"32SMSJ/22","32SMSJ/22","Single Jersey","22""","5","1153.48","226.00"
"30TC65-35/KK/72","30TC65-35/KK/72","Lacoste","72""","5","1327.28","155.00"
"POLY75/72RB/ลงคู่","POLY75/72RB/ลงคู่","RIB","30""","5","1404.95","123.20"
"C40/1SEMI/INT/37","C40/1SEMI/INT/37","Interlock","37""","5","1826.20","225.00"
"34TC80-20IT/365","34TC80-20IT/365","Interlock","36.5-37""","4","2231.64","125.14"
"DSP30CMJT/36","DSP30CMJT/36","Juti","36""","4","551.15","256.25"
"30TDRB/104","30TDRB/104","Single Jersey","32","4","549.95","142.50"
"*20OEWK/20*","*20OEWK/20*","Single Jersey","20""","4","2520.46","194.00"
"30TK INT/36","30TK INT/36","Interlock","36""-37""","4","1075.17","142.75"
"POLYRIB2X2/26","POLYRIB2X2/26","RIB","26""","4","967.51","140.00"
"30CMSJ/25","30CMSJ/25","Single Jersey","25""-25.5""","4","1230.90","222.50"
"30TC65-35/SJ/375","30TC65-35/SJ/375","Single Jersey","37""-37.5""","4","1527.60","143.00"
"30SMSJ/19","30SMSJ/19","Single Jersey","19""","4","1110.06","217.50"
"24CMRB/32","24CMRB/32","RIB","32""","4","812.30","225.00"
"*24CMSJ/26","*24CMSJ/26","Single Jersey","26""","4","1324.89","232.50"
"30TKSJ/36","30TKSJ/36","Single Jersey","36""","4","574.28","137.25"
"28CMSJ/20","28CMSJ/20","Single Jersey","20""","4","2685.16","231.25"
"28CMRBยางยืด","28CMRBยางยืด","RIB","30""","4","1805.47","240.00"
"30CMSJ/345-2","30CMSJ/345-2","Single Jersey","34.5""","4","1762.00","168.75"
"30CMSJ/23.5","30CMSJ/23.5","Single Jersey","23.5""","4","1472.70","208.00"
"COTTON","COTTON","Single Jersey","อบตามสภาพ","4","1460.40","65.00"
"30CMSJ/34","30CMSJ/34","Single Jersey","34""-34.5""","4","1340.71","210.75"
"ผ้าขูดขน","ผ้าขูดขน","ผ้าขูดขน","72""","4","1487.35","242.50"
"30CMRB2*1ยาง","30CMRB2*1ยาง","RIB","24""","4","117.10","216.75"
"45TC80/20 IT/365","45TC80/20 IT/365","Interlock","36.5""-37""","3","2755.23","131.33"
"20TD104RB/30","20TD104RB/30","RIB","30""","3","1078.01","136.67"
"20TC80/20SJ/43","20TC80/20SJ/43","Single Jersey","43""","3","3210.11","115.00"
"20TK ปก","20TK ปก","Collar","3.50""X 16.50""","3","57.60","93.33"
"45TC80/20 IT/46","45TC80/20 IT/46","Interlock","45.5""-46""","3","1177.65","153.33"
"ผ้าวอร์ม/32","ผ้าวอร์ม/32","ผ้าวอร์ม","32""-33""","3","939.84","160.00"
"30CVC จูติ/48","30CVC จูติ/48","Juti","48""","3","259.48","221.67"
"30TD106SJ/365","30TD106SJ/365","Single Jersey","36""-37""","3","2041.55","148.33"
"*20TK+ไมโครจูติ/475","*20TK+ไมโครจูติ/475","Juti","47.5""","3","265.90","128.40"
"20CVCRB/32","20CVCRB/32","RIB","32""","3","1245.30","235.00"
"30CVCRB2/32","30CVCRB2/32","RIB","32""","3","236.81","197.33"
"20CVCSJ/365","20CVCSJ/365","Single Jersey","36""-37""","3","666.60","215.00"
"POLY INT/72","POLY INT/72","Interlock","72""(รวมริม)","3","918.30","106.00"
"30TKSJ/55","30TKSJ/55","Single Jersey","55""-56""","3","988.49","144.00"
"ผ้าวอร์มสองหน้า","ผ้าวอร์มสองหน้า","ผ้าวอร์ม","64""-66""","3","1758.58","150.00"
"32SMIT/43","32SMIT/43","Interlock","43""-44""","3","940.00","200.00"
"20JCMRB/32","20JCMRB/32","RIB","32""","3","892.91","212.00"
"24CMRB/28","24CMRB/28","RIB","28""-29""","3","547.34","218.33"
"*24CMSJ/24","*24CMSJ/24","Single Jersey","24""","3","875.80","238.33"
"30TD1603RB/32","30TD1603RB/32","RIB","32""","3","377.58","153.33"
"*30CMSJ/36","*30CMSJ/36","Single Jersey","36""","3","761.60","238.33"
"28CMSJ/345","28CMSJ/345","Single Jersey","34.5""","3","755.32","230.00"
"20TK SJ/365","20TK SJ/365","Single Jersey","36.5""","3","1582.18","120.00"
"30TK คาเนโกะ /72","30TK คาเนโกะ /72","Lacoste","72""","3","1811.39","133.67"
"28CMSJ/22","28CMSJ/22","Single Jersey","22""","3","776.94","216.67"
